0,,,These statistics will no longer be updated. See more info on the Info-tab.,,,,,,,,,,,,,,,,   Beräkningen är standardiserad för att månader med olika antal dagar ska kunna jämföras. 
1,,,,,,,,,,,,,,,,,,,2 Statistiken för år 2023 är preliminär.
2,,,,,,,,,,,,,,,,,,,
3,"Antal döda per 100 000 invånare1 per månad åren 2015-20232, Riket, län och kommun",,,,,,,,,,,,,,,,,,1 The calculation is based on the population at the start of each month.
4,"Number of deaths per 100 000 inhabitants1 per month, 2015-20232, Country, county and municipal level",,,,,,,,,,,,,,,,,,  The calculation is standardised to ensure comparison between months of different lengths.
5,,,,,,,,,,,,,,,,,,,2 Statistics for 2023 are preliminary.
6,,,,,,,,,,,,,,,,,,,
7,Region,Månad / Month,År / Year,,,,,,,,,,,,,,,,
46, Danderyd,februari,69.7,76.5,78.6,120.6,58.0,53.5,59.0,52.3,59.0,12,,11. Döda_P_100000_30Dgr,2,,,,
47, Danderyd,mars,78,74.6,71.1,67.8,96.0,82.4,82.8,44.3,65.2,12,,11. Döda_P_100000_30Dgr,3,,,,
48, Danderyd,april,80.5,77.1,67.3,91.2,69.3,97.5,61.1,76.2,55.2,12,,11. Döda_P_100000_30Dgr,4,,,,
49, Danderyd,maj,48,50.8,71.2,53.0,81.7,88.4,53.2,79.6,0.0,12,,11. Döda_P_100000_30Dgr,5,,,,
50, Danderyd,juni,68.1,64.8,67.4,75.9,39.3,61.0,70.2,76.2,0.0,12,,11. Döda_P_100000_30Dgr,6,,,,
51, Danderyd,juli,71.8,41.8,65.1,96.8,40.9,65.0,50.1,100.1,0.0,12,,11. Döda_P_100000_30Dgr,7,,,,
52, Danderyd,augusti,77.8,74.4,59.1,49.8,58.5,41.4,61.9,67.7,0.0,12,,11. Döda_P_100000_30Dgr,8,,,,
53, Danderyd,september,80.2,49.1,51.8,54.4,60.6,55.0,39.6,67.0,0.0,12,,11. Döda_P_100000_30Dgr,9,,,,
54, Danderyd,oktober,89.5,80.1,50.1,67.1,52.8,71.0,67.8,44.3,0.0,12,,11. Döda_P_100000_30Dgr,10,,,,
55, Danderyd,november,73.9,88.8,88.2,48.2,91.2,67.3,64.0,58.0,0.0,12,,11. Döda_P_100000_30Dgr,11,,,,
56, Danderyd,december,65.6,86.0,70.6,70.0,67.7,97.6,61.9,74.0,0.0,12,,11. Döda_P_100000_30Dgr,12,,,,
57, Ekerö,januari,79.7,61.0,60.0,69.7,44.4,47.2,90.5,56.5,53.2,12,,11. Döda_P_100000_30Dgr,1,,,,
58, Ekerö,februari,36.1,38.3,43.0,34.6,45.4,61.2,40.9,73.6,62.5,12,,11. Döda_P_100000_30Dgr,2,,,,
59, Ekerö,mars,29,50.1,38.8,62.4,44.4,53.8,60.3,33.2,83.1,12,,11. Döda_P_100000_30Dgr,3,,,,
60, Ekerö,april,48.6,63.0,65.6,43.0,49.4,76.4,51.8,54.8,54.9,12,,11. Döda_P_100000_30Dgr,4,,,,
61, Ekerö,maj,28.9,60.8,24.7,55.4,51.1,50.4,63.4,43.1,0.0,12,,11. Döda_P_100000_30Dgr,5,,,,
62, Ekerö,juni,41.1,22.2,72.8,39.3,70.4,72.6,34.5,68.5,0.0,12,,11. Döda_P_100000_30Dgr,6,,,,
63, Ekerö,juli,57.7,39.3,42.1,65.5,37.4,36.8,56.6,49.6,0.0,12,,11. Döda_P_100000_30Dgr,7,,,,
64, Ekerö,augusti,43.2,64.1,49.0,37.9,50.9,60.2,43.3,56.2,0.0,12,,11. Döda_P_100000_30Dgr,8,,,,
65, Ekerö,september,40.8,47.8,50.6,46.2,49.0,48.4,72.2,47.9,0.0,12,,11. Döda_P_100000_30Dgr,9,,,,
66, Ekerö,oktober,21.6,39.0,48.9,55.0,37.2,40.2,46.6,49.8,0.0,12,,11. Döda_P_100000_30Dgr,10,,,,
67, Ekerö,november,78.1,36.7,68.6,63.7,42.0,48.5,55.0,54.9,0.0,12,,11. Döda_P_100000_30Dgr,11,,,,
68, Ekerö,december,39.5,42.5,69.7,47.9,40.5,87.1,49.9,49.8,0.0,12,,11. Döda_P_100000_30Dgr,12,,,,
69, Haninge,januari,58.7,48.5,67.8,55.0,71.0,63.0,75.4,66.8,51.5,12,,11. Döda_P_100000_30Dgr,1,,,,
70, Haninge,februari,65,65.3,74.9,53.4,49.9,56.0,45.7,68.2,49.3,12,,11. Döda_P_100000_30Dgr,2,,,,
71, Haninge,mars,61,47.2,60.8,39.4,59.0,57.5,52.6,60.5,50.4,12,,11. Döda_P_100000_30Dgr,3,,,,
72, Haninge,april,47.2,52.2,58.0,63.3,46.5,137.0,45.7,35.4,35.7,12,,11. Döda_P_100000_30Dgr,4,,,,
73, Haninge,maj,57.3,56.2,38.1,45.9,59.9,72.1,72.9,47.2,0.0,12,,11. Döda_P_100000_30Dgr,5,,,,
74, Haninge,juni,43.4,39.0,60.1,36.1,50.7,48.5,33.9,53.8,0.0,12,,11. Döda_P_100000_30Dgr,6,,,,
75, Haninge,juli,50.1,57.1,57.9,57.6,43.7,43.8,60.3,37.0,0.0,12,,11. Döda_P_100000_30Dgr,7,,,,
76, Haninge,augusti,40.7,42.2,40.0,51.0,49.9,32.3,49.9,38.9,0.0,12,,11. Döda_P_100000_30Dgr,8,,,,
77, Haninge,september,43.3,48.2,48.1,48.1,47.2,48.3,52.6,72.1,0.0,12,,11. Döda_P_100000_30Dgr,9,,,,
78, Haninge,oktober,65,52.2,45.4,63.7,58.3,43.6,51.9,54.7,0.0,12,,11. Döda_P_100000_30Dgr,10,,,,
79, Haninge,november,61.1,69.1,51.4,44.6,45.9,68.6,46.1,48.2,0.0,12,,11. Döda_P_100000_30Dgr,11,,,,
80, Haninge,december,52.1,58.8,56.3,53.9,42.2,58.9,45.6,67.5,0.0,12,,11. Döda_P_100000_30Dgr,12,,,,
81, Huddinge,januari,58.5,59.7,68.4,53.7,46.8,60.0,42.7,54.4,57.5,12,,11. Döda_P_100000_30Dgr,1,,,,
82, Huddinge,februari,58.6,54.9,53.8,69.0,45.0,45.8,49.1,49.8,52.4,12,,11. Döda_P_100000_30Dgr,2,,,,
83, Huddinge,mars,47.3,52.3,49.4,60.6,52.7,44.6,42.7,39.8,49.9,12,,11. Döda_P_100000_30Dgr,3,,,,
84, Huddinge,april,40.2,61.6,43.6,39.0,45.5,83.1,46.7,38.5,33.2,12,,11. Döda_P_100000_30Dgr,4,,,,
85, Huddinge,maj,40.8,42.1,40.3,48.2,43.2,67.6,40.1,38.1,0.0,12,,11. Döda_P_100000_30Dgr,5,,,,
86, Huddinge,juni,32.5,52.9,35.1,42.5,34.7,43.3,39.6,50.7,0.0,12,,11. Döda_P_100000_30Dgr,6,,,,
87, Huddinge,juli,46.2,31.0,39.2,54.1,37.0,40.2,41.7,49.1,0.0,12,,11. Döda_P_100000_30Dgr,7,,,,
88, Huddinge,augusti,52.6,51.9,40.0,38.4,44.7,36.8,46.0,36.4,0.0,12,,11. Döda_P_100000_30Dgr,8,,,,
89, Huddinge,september,63.8,33.7,46.7,38.7,47.9,37.1,36.0,43.7,0.0,12,,11. Döda_P_100000_30Dgr,9,,,,
90, Huddinge,oktober,57.1,47.1,52.2,42.6,48.9,42.8,49.3,41.4,0.0,12,,11. Döda_P_100000_30Dgr,10,,,,
91, Huddinge,november,51.4,42.9,40.2,47.6,43.4,52.2,36.0,49.8,0.0,12,,11. Döda_P_100000_30Dgr,11,,,,
92, Huddinge,december,44.1,65.8,45.9,50.3,55.7,42.8,50.9,64.3,0.0,12,,11. Döda_P_100000_30Dgr,12,,,,
93, Järfälla,januari,72.5,57.5,71.5,54.4,48.1,65.3,60.7,79.1,45.3,12,,11. Döda_P_100000_30Dgr,1,,,,
94, Järfälla,februari,72.6,44.2,69.0,61.5,63.9,60.7,55.3,79.8,62.6,12,,11. Döda_P_100000_30Dgr,2,,,,
95, Järfälla,mars,60,46.5,62.3,61.7,69.9,59.1,69.9,67.3,53.1,12,,11. Döda_P_100000_30Dgr,3,,,,
96, Järfälla,april,46.4,61.7,72.2,70.1,57.0,132.0,44.0,50.3,53.6,12,,11. Döda_P_100000_30Dgr,4,,,,
97, Järfälla,maj,50.2,45.0,59.4,46.5,42.8,69.8,44.9,46.3,0.0,12,,11. Döda_P_100000_30Dgr,5,,,,
98, Järfälla,juni,49,49.1,48.0,58.2,69.4,65.9,39.0,38.2,0.0,12,,11. Döda_P_100000_30Dgr,6,,,,
99, Järfälla,juli,47.3,59.2,50.1,58.8,59.6,39.6,43.5,65.6,0.0,12,,11. Döda_P_100000_30Dgr,7,,,,
100, Järfälla,augusti,55.2,45.9,50.0,42.4,51.0,44.4,46.9,52.8,0.0,12,,11. Döda_P_100000_30Dgr,8,,,,
101, Järfälla,september,55.6,46.0,48.9,55.3,56.4,50.8,44.8,52.0,0.0,12,,11. Döda_P_100000_30Dgr,9,,,,
102, Järfälla,oktober,69.8,66.7,56.2,47.2,66.6,50.2,55.0,56.0,0.0,12,,11. Döda_P_100000_30Dgr,10,,,,
103, Järfälla,november,48.4,47.2,56.6,57.7,43.8,61.7,53.1,57.7,0.0,12,,11. Döda_P_100000_30Dgr,11,,,,
104, Järfälla,december,69.5,69.1,59.6,48.2,71.4,63.2,44.3,64.7,0.0,12,,11. Döda_P_100000_30Dgr,12,,,,
105, Lidingö,januari,93.7,77.3,97.1,92.3,81.0,80.4,62.5,90.4,89.9,12,,11. Döda_P_100000_30Dgr,1,,,,
106, Lidingö,februari,49.5,58.1,61.8,65.8,67.3,70.8,58.0,48.9,57.6,12,,11. Döda_P_100000_30Dgr,2,,,,
107, Lidingö,mars,82.9,60.5,80.6,71.7,64.8,78.3,68.4,56.2,62.0,12,,11. Döda_P_100000_30Dgr,3,,,,
108, Lidingö,april,83.3,75.4,83.2,67.7,69.0,135.0,58.3,53.9,53.8,12,,11. Döda_P_100000_30Dgr,4,,,,
109, Lidingö,maj,59.3,64.6,61.8,63.5,54.6,144.8,74.5,58.1,0.0,12,,11. Döda_P_100000_30Dgr,5,,,,
110, Lidingö,juni,78.7,53.8,74.4,61.3,64.7,58.3,49.9,68.1,0.0,12,,11. Döda_P_100000_30Dgr,6,,,,
111, Lidingö,juli,71.8,58.3,57.6,83.6,42.4,62.4,64.3,48.0,0.0,12,,11. Döda_P_100000_30Dgr,7,,,,
112, Lidingö,augusti,71.6,58.2,61.6,58.9,68.5,66.3,76.3,77.9,0.0,12,,11. Döda_P_100000_30Dgr,8,,,,
113, Lidingö,september,49.9,53.5,65.7,67.0,74.8,81.0,85.1,39.2,0.0,12,,11. Döda_P_100000_30Dgr,9,,,,
114, Lidingö,oktober,60.8,78.5,73.9,64.9,48.2,74.5,46.3,57.9,0.0,12,,11. Döda_P_100000_30Dgr,10,,,,
115, Lidingö,november,64.9,93.9,59.4,79.5,97.6,64.5,54.1,57.7,0.0,12,,11. Döda_P_100000_30Dgr,11,,,,
116, Lidingö,december,64.8,109.4,67.8,70.8,80.4,96.7,80.5,89.9,0.0,12,,11. Döda_P_100000_30Dgr,12,,,,
117, Nacka,januari,65.4,51.4,51.6,71.7,66.3,52.4,62.7,45.6,68.1,12,,11. Döda_P_100000_30Dgr,1,,,,
118, Nacka,februari,57.8,56.9,62.5,85.6,42.3,44.2,50.3,59.4,43.0,12,,11. Döda_P_100000_30Dgr,2,,,,
119, Nacka,mars,53.3,63.1,59.3,62.9,49.3,58.7,39.0,51.9,49.3,12,,11. Döda_P_100000_30Dgr,3,,,,
120, Nacka,april,49.8,51.9,45.1,58.0,44.2,77.7,49.5,41.6,46.4,12,,11. Döda_P_100000_30Dgr,4,,,,
121, Nacka,maj,40.1,53.1,39.7,45.6,41.8,60.5,46.9,53.6,0.0,12,,11. Döda_P_100000_30Dgr,5,,,,
122, Nacka,juni,40.3,49.7,44.0,45.0,47.9,58.6,36.3,49.7,0.0,12,,11. Döda_P_100000_30Dgr,6,,,,
